Volume,AdjClose,Country
21054400,33.2,Canada
12810400,34,USA
12154200,34.36,USA
10443700,34.39,UK
11867100,34.23,Canada
11244500,34.6,USA
13306100,34.6,Italy
22391900,34.94,USA
18047900,34.19,USA
9987400,34.06,USA
13066200,33.94,USA
11873800,33.52,USA
11143400,34.06,USA
18240600,34.51,USA
17581900,33.88,USA
12637100,33.33,USA
16236100,33.34,UK
11871600,34.01,USA
20497500,34.29,USA
16819200,34.15,USA
23252600,33.85,UK
27561500,33.53,Australia
37778500,32.94,USA
82623300,33.4,USA
32685500,37.73,USA
11019300,36.58,Canada
12372200,36.58,Sweden
14722200,36.86,USA
16897500,36.73,USA
19665800,36.23,USA
20233000,35.76,USA
15515400,34.62,UK
16354300,34.63,USA
13585700,34.12,USA
16086700,34.6,UK
9861600,34.44,USA
16699500,34.65,USA
16481900,34.94,USA
13346200,35.8,UK
12044700,35.68,aaa
13468200,36.09,aaa
15547700,36.2,aaa
12148100,36.9,aaa
16219200,36.95,aaa
12753200,36.45,aaa
15952800,36.3,aaa
12228700,36.4,aaa
22753900,36.32,aaa
12781200,36.8,aaa
11586300,36.9,aaa
14216900,36.81,aaa
18455100,37.45,aaa
20121100,36.63,aaa
22848300,37.44,aaa
12416000,38.52,aaa
12813300,37.92,aaa
13150700,38.5,aaa
28153800,38.42,aaa
12498300,37.2,aaa
10256600,37.27,aaa
15547700,37.14,aaa
14995100,36.27,aaa
17421300,36.63,aaa
21616200,36.8,aaa
13771900,36.33,aaa
21267100,36.75,aaa
23769000,35.95,aaa
13178400,35.68,aaa
15473900,35.45,aaa
15855900,34.82,aaa
18906700,34.71,aaa
19537100,34.88,aaa
13227000,34.06,aaa
9991700,34.59,aaa
14202200,34.52,aaa
16926300,34.71,aaa
23410900,35.18,aaa
22042800,34.28,aaa
13231500,34.38,aaa
15666100,34.5,aaa
16159300,34.33,aaa
14861300,34.95,aaa
17921200,35,aaa
23883600,35.49,aaa
31869800,34.87,aaa
27731600,35.87,aaa
50104400,34.65,aaa
34158500,33.22,aaa
19201200,32.55,aaa
27008500,32.46,aaa
19855300,33.46,aaa
16886100,33.6,aaa
22681900,34.28,aaa
11758500,34.6,aaa
11106300,34.76,aaa
20575000,35.07,aaa
23574000,34.49,aaa
20275900,35.15,aaa
27853300,35.07,aaa
27955400,34.28,aaa
25390000,33.9,aaa
28267900,33.48,aaa
23544700,32.16,aaa
20624400,32.25,aaa
23162000,31.41,aaa
13917100,30.87,aaa
19570600,30.99,aaa
18449400,31.62,aaa
20796400,31.11,aaa
13760200,31.61,aaa
17952000,31.58,aaa
20880800,31.94,aaa
19762000,31.32,aaa
13364800,31.65,aaa
19381200,31.91,aaa
21824400,32.32,aaa
17839300,33.16,aaa
17679200,33.09,aaa
17499800,32.36,aaa
17896100,32.31,aaa
15357200,32.23,aaa
20222500,32.3,aaa
25266400,32.27,aaa
20114900,31.73,aaa
55457300,31.48,aaa
34757100,32.12,aaa
18142600,32.79,aaa
12436100,33.6,aaa
16203500,33.82,aaa
22176200,34.42,aaa
20391900,33.98,aaa
20065300,34.33,aaa
20005800,34.15,aaa
32637400,33.44,aaa
18285100,33.59,aaa
17321500,34.36,aaa
14588900,34.47,aaa
16850200,35.02,aaa
16742400,35.09,aaa
33495200,35.54,aaa
18633600,34.75,aaa
20712200,35.21,aaa
17853700,34.62,aaa
21450800,34.73,aaa
25767500,35.47,aaa
26521400,34.04,aaa
31477400,33.93,aaa
26608000,35.3,aaa
30239100,35.78,aaa
44303200,36.45,aaa
42709600,37.18,aaa
27697700,36.7,aaa
18526500,35.33,aaa
23274700,36.14,aaa
19711900,35.66,aaa
17482800,36.32,aaa
18596300,35.96,aaa
20835300,35.43,aaa
18469100,36.13,aaa
26625300,36.58,aaa
25482800,38.18,aaa
